2024-12-23 13:04:42,140 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/providers/all, Response Code: 200
2024-12-23 13:04:42,459 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:04:42,646 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/logs/getfiles, Response Code: 200
2024-12-23 13:04:47,270 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:04:47,613 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:04:47,936 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/U0002, Response Code: 200
2024-12-23 13:04:48,251 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/E0001, Response Code: 200
2024-12-23 13:04:50,650 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/update/U0002, Response Code: 200
2024-12-23 13:04:50,917 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:06:24,170 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/login, Response Code: 200
2024-12-23 13:06:24,552 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/categories/get, Response Code: 200
2024-12-23 13:06:24,889 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/count, Response Code: 200
2024-12-23 13:06:25,236 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/page/1, Response Code: 200
2024-12-23 13:06:25,578 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/categories/get, Response Code: 200
2024-12-23 13:06:25,924 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/orders/count, Response Code: 200
2024-12-23 13:06:26,244 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/orders/page/1, Response Code: 200
2024-12-23 13:06:26,606 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:06:26,944 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/project/all, Response Code: 200
2024-12-23 13:06:27,249 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/providers/all, Response Code: 200
2024-12-23 13:06:27,607 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:06:27,798 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/logs/getfiles, Response Code: 200
2024-12-23 13:06:31,703 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:06:32,050 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:06:32,355 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/U0002, Response Code: 200
2024-12-23 13:06:32,661 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/E0001, Response Code: 200
2024-12-23 13:06:51,525 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/update/U0002, Response Code: 200
2024-12-23 13:06:51,857 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:07:05,923 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:07:06,246 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:07:06,549 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/U0002, Response Code: 200
2024-12-23 13:07:06,866 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/E0001, Response Code: 200
2024-12-23 13:07:09,316 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/update/U0002, Response Code: 200
2024-12-23 13:07:09,607 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:07:16,117 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/logout, Response Code: 200
2024-12-23 13:07:29,329 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/login, Response Code: 200
2024-12-23 13:07:29,722 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/categories/get, Response Code: 200
2024-12-23 13:07:30,107 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/count, Response Code: 200
2024-12-23 13:07:30,442 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/page/1, Response Code: 200
2024-12-23 13:07:30,764 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/inventory/categories/get, Response Code: 200
2024-12-23 13:07:31,087 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/orders/count, Response Code: 200
2024-12-23 13:07:31,410 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/orders/page/1, Response Code: 200
2024-12-23 13:07:31,771 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/employees/all, Response Code: 200
2024-12-23 13:07:32,140 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/project/all, Response Code: 200
2024-12-23 13:07:32,455 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/providers/all, Response Code: 200
2024-12-23 13:07:32,824 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/all, Response Code: 200
2024-12-23 13:07:33,005 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/logs/getfiles, Response Code: 200
2024-12-23 13:07:35,365 - INFO - Source IP: 127.0.0.1, URL: http://127.0.0.1:5000/users/logout, Response Code: 200
